episode,ep_reward,mean_distance,mean_loss,epsilon,val_reward,val_loss,success,path_length,motion_time
0,85.40000000000002,0.7285319568459377,0.1827483186227551,0.9839865004031642,70.96,nan,1,86,0.23766183853149414
1,87.80000000000003,0.6209028176054722,-0.43163531875555833,0.9687940404800637,,,1,82,0.20901799201965332
2,98.9,0.2270051051269878,-4.581809172914787,0.9667749154429288,,,1,11,0.02562999725341797
3,-12.999999999999975,0.8282308867573738,0.029439181848429145,0.9486215558380715,,,0,100,0.25891613960266113
4,-17.99999999999999,1.084323409795761,0.07623555172234774,0.93082765683733,,,0,100,0.2862739562988281
5,99.9,0.0,-85.7652816772461,0.9306515089213414,,,1,1,0.0020728111267089844
6,72.1,0.3655172725175989,9.42829178337907,0.9255585141318412,,,1,29,0.06807088851928711
7,-109.99999999999982,0.7211102843284607,-0.3142634539501341,0.9082212939544647,,,0,100,0.26076292991638184
8,-108.99999999999983,0.2828426957130432,-0.3312244097508665,0.8912273737377732,,,0,100,0.2580740451812744
9,-12.99999999999998,1.0050953847169877,-0.02831820978783071,0.8745699556870912,,,0,100,0.28023314476013184
10,98.2,0.3126417249441147,-2.4814856089651585,0.8716068406538412,,,1,18,0.04182004928588867
11,-109.99999999999982,0.8246211409568787,0.5655832578750818,0.8553379351886498,,,0,100,0.25263381004333496
12,-9.99999999999998,1.005943050980568,-0.4305428575198522,0.8393911756355161,,,0,100,0.25363993644714355
13,85.10000000000002,0.5982681214809418,-0.14089051110646392,0.8270168099761664,,,1,79,0.19481492042541504
14,-9.99999999999998,0.7211102843284607,-0.1226612227592032,0.8116308462756855,,,0,100,0.25349879264831543
15,-9.99999999999998,1.0716476404666901,-0.0268732445826754,0.7965495450689283,,,0,100,0.25336384773254395
16,-9.99999999999998,0.8926940107345581,-0.02449999936390668,0.7817668736343252,,,0,100,0.25464701652526855
17,-9.99999999999998,1.0770329236984253,-0.022206951637053864,0.7672769187061976,,,0,100,0.25328493118286133
18,-9.99999999999998,0.20082842990756034,-0.01853770270361565,0.7530738841093723,,,0,100,0.25379300117492676
19,-9.99999999999998,0.40047217160463333,-0.020236668406869284,0.7391520884406341,,,0,100,0.2545347213745117
20,-108.99999999999983,0.800000011920929,0.42220417891279793,0.7255059627960893,-49.39999999999992,nan,0,100,0.25656700134277344
21,-9.99999999999998,0.5656853914260864,-0.4914418618241325,0.7121300485435291,,,0,100,0.25600099563598633
22,-9.99999999999998,1.0198038816452026,-0.030478652708877823,0.6990189951389048,,,0,100,0.25678205490112305
23,-107.99999999999983,0.598000023663044,0.5009293968882411,0.6861675579860379,,,0,100,0.2547948360443115
24,-108.99999999999983,0.2828426957130432,-0.2776953168376349,0.6735705963387126,,,0,100,0.25417089462280273
