episode,ep_reward,mean_distance,mean_loss,epsilon,val_reward,val_loss,success,path_length,motion_time
0,-14.999999999999973,0.5822506734728813,-5.353658642470837,0.9813749960143622,-29.799999999999947,nan,0,100,0.09418916702270508
1,-108.99999999999983,0.44721361994743347,4.028441945879458,0.9629325354443624,,,0,100,0.056498050689697266
2,-9.99999999999998,0.8072614136338234,2.6369863037765024,0.9448552600611364,,,0,100,0.05661892890930176
3,-25.000000000000114,1.3316935801506042,-0.13575539498371655,0.9271359387134974,,,0,100,0.055773019790649414
4,-9.99999999999998,1.076460633277893,0.035512846814017396,0.9097674834366455,,,0,100,0.05557608604431152
5,-9.99999999999998,0.20000000298023224,0.02998356038003276,0.8927429466168877,,,0,100,0.05576300621032715
6,-9.99999999999998,0.8189254096150398,0.03093297038540186,0.876055518212499,,,0,100,0.05453205108642578
7,-9.99999999999998,0.8485281467437744,0.02924344228172686,0.8596985230296158,,,0,100,0.05510830879211426
8,99.9,0.0,55.40726089477539,0.8595365995179007,,,1,1,0.00047898292541503906
9,-109.99999999999982,0.44721361994743347,5.991635745218955,0.8435067008407084,,,0,100,0.05431485176086426
10,-9.99999999999998,0.3999999761581421,1.4774740708595275,0.8277942154240827,,,0,100,0.05533313751220703
11,-9.99999999999998,0.2076251210272312,0.09853180580073967,0.8123928580643546,,,0,100,0.05509781837463379
12,-9.99999999999998,1.0198038816452026,0.03540032011919721,0.7972964680132258,,,0,100,0.055040836334228516
13,-9.99999999999998,0.7202236777544022,0.0345864831189408,0.782499006513388,,,0,100,0.055502891540527344
14,-9.99999999999998,1.1613518595695496,0.057561866800424466,0.7679945543829392,,,0,100,0.061737060546875
15,-109.99999999999982,0.5656854510307312,4.1261370449606325,0.753777309647632,,,0,100,0.062358856201171875
16,-9.99999999999998,0.5656853914260864,1.043521450879198,0.7398415852200064,,,0,100,0.05550408363342285
17,-9.99999999999998,0.8944271802902222,0.030315136537885222,0.7261818066244792,,,0,100,0.055062055587768555
18,-9.99999999999998,0.9657796639204025,0.04975814536039252,0.7127925097674795,,,0,100,0.054656028747558594
19,-9.99999999999998,0.88922767162323,0.05464974984643049,0.6996683387517381,,,0,100,0.05536794662475586
20,-9.99999999999998,1.015900226831436,0.04562105136501486,0.6868040437338574,29.84000000000002,nan,0,100,0.05625796318054199
21,-109.99999999999982,0.44721361994743347,4.885166513733566,0.6741944788243039,,,0,100,0.058441877365112305
22,-9.99999999999998,1.0756903040409087,1.1106190213561058,0.6618346000289843,,,0,100,0.05464601516723633
23,-9.99999999999998,0.2828426957130432,0.041817074395439705,0.6497194632315797,,,0,100,0.05434703826904297
24,-9.99999999999998,0.4000000059604645,0.03992117807675641,0.6378442222158338,,,0,100,0.05356001853942871
25,-9.99999999999998,0.6324555277824402,0.030637205898148886,0.6262041267270018,,,0,100,0.0552060604095459
26,-109.99999999999982,0.5656854510307312,3.7584449452953415,0.6147945205716847,,,0,100,0.05426669120788574
27,-9.99999999999998,1.0715547513961792,0.9222099270671607,0.6036108397552902,,,0,100,0.054986000061035156
28,-9.99999999999998,0.8937291198968887,0.18115704259835183,0.5926486106563742,,,0,100,0.05430412292480469
29,-9.99999999999998,0.6000000238418579,0.1079663332621567,0.5819034482371319,,,0,100,0.05507707595825195
30,-9.99999999999998,0.8926940703392029,0.04429025280074711,0.5713710542893251,,,0,100,0.05491995811462402
31,-9.99999999999998,1.006300840675831,0.5341988477949053,0.5610472157149408,,,0,100,0.05484509468078613
32,94.9,0.721568642001526,4.029677866248177,0.5558610286329307,,,1,51,0.026116132736206055
33,-9.99999999999998,0.42443752110004423,1.3761484322696924,0.5458443091435892,,,0,100,0.05553936958312988
